,,,,,,,,,,,,,,,,,,,,,,,,,,
code,date,제품,유입,장바구니,구매,장바구니 전환율,구매 전환율,,,code,date,제품,유입,장바구니,구매,장바구니 전환율,구매 전환율,,code,date,제품,유입,장바구니,구매,장바구니 전환율,구매 전환율
1154100423,06월 07일,헬밤스틱,"2,430",284,144,0.89%,2.13%,,,1154100423,06월 07일,헬밤스틱,"2,430",284,144,0.89%,2.13%,,1154100423,03월 08일,헬밤스틱,"4,224",501,244,11.86%,48.70%
1125191395,06월 07일,철벽베이스세트,736,34,13,0.11%,0.19%,,,1125191395,06월 07일,철벽베이스세트,736,34,13,0.11%,0.19%,,,03월 08일,철벽베이스세트,0,0,0,0.00%,0.00%
1150901464,06월 08일,갸루키티세트,"4,585",68,14,0.21%,0.21%,,,1150901464,06월 08일,갸루키티세트,"4,585",68,14,0.21%,0.21%,,1125191395,03월 09일,갸루키티세트,548,0,0,0.00%,0.00%
1040221567,06월 08일,소블아,"18,727","2,068","1,041",6.48%,15.43%,,,1040221567,06월 08일,소블아,"18,727","2,068","1,041",6.48%,15.43%,,1040221567,03월 09일,소블아,"13,265",894,369,6.74%,41.28%
1048694474,06월 08일,파데브러시,"4,003",764,322,2.39%,4.77%,,,1048694474,06월 08일,파데브러시,"4,003",764,322,2.39%,4.77%,,1048694474,03월 09일,파데브러시,"5,320","1,271",546,23.89%,42.96%
1172283012,06월 08일,쉐블치,"3,899",378,201,1.18%,2.98%,,,1172283012,06월 08일,쉐블치,"3,899",378,201,1.18%,2.98%,,1172283012,03월 09일,쉐블치,"1,870",126,57,6.74%,45.24%
1141569521,06월 08일,심리스파데,"3,253",418,202,1.31%,2.99%,,,1141569521,06월 08일,심리스파데,"3,253",418,202,1.31%,2.99%,,1141569521,03월 09일,심리스파데,"7,332",583,281,7.95%,48.20%
1154100423,06월 08일,헬밤스틱,"1,825",253,125,0.79%,1.85%,,,1154100423,06월 08일,헬밤스틱,"1,825",253,125,0.79%,1.85%,,1154100423,03월 09일,헬밤스틱,"2,336",114,49,4.88%,42.98%
1125191395,06월 08일,철벽베이스세트,489,23,7,0.07%,0.10%,,,1125191395,06월 08일,철벽베이스세트,489,23,7,0.07%,0.10%,,,03월 09일,철벽베이스세트,0,0,0,0.00%,0.00%
1150901464,06월 09일,갸루키티세트,"5,344",102,38,0.32%,0.56%,,,1150901464,06월 09일,갸루키티세트,"5,344",102,38,0.32%,0.56%,,1125191395,03월 10일,갸루키티세트,501,0,0,0.00%,0.00%
1040221567,06월 09일,소블아,"23,462","2,259","1,304",7.08%,19.33%,,,1040221567,06월 09일,소블아,"23,462","2,259","1,304",7.08%,19.33%,,1040221567,03월 10일,소블아,"12,807","1,030",531,8.04%,51.55%
1048694474,06월 09일,파데브러시,"4,916",954,495,2.99%,7.34%,,,1048694474,06월 09일,파데브러시,"4,916",954,495,2.99%,7.34%,,1048694474,03월 10일,파데브러시,"4,661",839,365,18.00%,43.50%
1172283012,06월 09일,쉐블치,"4,309",493,247,1.55%,3.66%,,,1172283012,06월 09일,쉐블치,"4,309",493,247,1.55%,3.66%,,1172283012,03월 10일,쉐블치,"1,840",195,77,10.60%,39.49%
1141569521,06월 09일,심리스파데,"3,557",476,296,1.49%,4.39%,,,1141569521,06월 09일,심리스파데,"3,557",476,296,1.49%,4.39%,,1141569521,03월 10일,심리스파데,"6,669",607,306,9.10%,50.41%
1154100423,06월 09일,헬밤스틱,"2,104",288,160,0.90%,2.37%,,,1154100423,06월 09일,헬밤스틱,"2,104",288,160,0.90%,2.37%,,1154100423,03월 10일,헬밤스틱,"2,645",308,177,11.64%,57.47%
1125191395,06월 09일,철벽베이스세트,597,19,7,0.06%,0.10%,,,1125191395,06월 09일,철벽베이스세트,597,19,7,0.06%,0.10%,,,03월 10일,철벽베이스세트,,,,0.00%,0.00%
1150901464,06월 10일,갸루키티세트,"5,708",122,53,0.32%,0.56%,,,1150901464,06월 10일,갸루키티세트,"5,708",122,53,0.32%,0.56%,,1125191395,03월 11일,갸루키티세트,460,0,0,0.00%,0.00%
1040221567,06월 10일,소블아,"34,608","4,451","3,031",7.08%,19.33%,,,1040221567,06월 10일,소블아,"34,608","4,451","3,031",7.08%,19.33%,,1040221567,03월 11일,소블아,"17,289",864,531,8.04%,51.55%
1048694474,06월 10일,파데브러시,"9,023",2067,1348,2.99%,7.34%,,,1048694474,06월 10일,파데브러시,"9,023",2067,1348,2.99%,7.34%,,1048694474,03월 11일,파데브러시,"7,175","1,831",1194,18.00%,43.50%
1172283012,06월 10일,쉐블치,"6,424","1,051",754,1.55%,3.66%,,,1172283012,06월 10일,쉐블치,"6,424","1,051",754,1.55%,3.66%,,1172283012,03월 11일,쉐블치,"2,317",242,120,10.60%,39.49%
1141569521,06월 10일,심리스파데,"5,313",929,756,1.49%,4.39%,,,1141569521,06월 10일,심리스파데,"5,313",929,756,1.49%,4.39%,,1141569521,03월 11일,심리스파데,"10,388","1,322",961,9.10%,50.41%
1154100423,06월 10일,헬밤스틱,"2,872",546,385,0.90%,2.37%,,,1154100423,06월 10일,헬밤스틱,"2,872",546,385,0.90%,2.37%,,1154100423,03월 11일,헬밤스틱,"2,282",253,172,11.64%,57.47%
1125191395,06월 10일,철벽베이스세트,809,32,20,0.06%,0.10%,,,1125191395,06월 10일,철벽베이스세트,809,32,20,0.06%,0.10%,,,03월 11일,철벽베이스세트,,,,0.00%,0.00%
